Performance,RT,ProbRatio,NumRatio,DenRatio,AreaCtl,WinSide1,WinSide2,DenSide1,DenSide2,ProbSide1,ProbSide2,sideR,subID
1,0.3045,0.8,1,0.8,1,5,5,20,25,0.25,0.2,1,1
0,0.2736,1,0.6,0.6,2,15,9,20,12,0.75,0.75,2,1
1,0.31305,0.66667,0.83333,0.8,1,18,15,24,30,0.75,0.5,1,1
0,0.30393,0.8,0.2,0.25,2,10,2,32,8,0.3125,0.25,2,1
1,0.27708,0.66667,1,0.66667,1,3,3,12,18,0.25,0.16667,1,1
1,0.30231,0.8,0.5,0.625,2,30,15,32,20,0.9375,0.75,1,1
1,0.35988,0.8,0.3,0.375,1,9,30,12,32,0.75,0.9375,2,1
0,0.31931,0.5,0.5,1,2,3,6,12,12,0.25,0.5,1,1
0,0.34456,0.5,0.5,0.25,1,6,3,24,6,0.25,0.5,1,1
0,0.31963,1,0.33333,0.33333,1,3,1,12,4,0.25,0.25,2,1
1,0.29417,0.8,0.8,1,1,10,8,16,16,0.625,0.5,1,1
